id,category,name,access_mode,auth,cadence,history,backfill_now,urgency,licence,status,url
openstreetmap_geofabrik,business_services,OpenStreetMap / Geofabrik UK extract + diffs,pbf+osc_diffs,none,daily diff; weekly/monthly full reconciliation,YES: OSM full history exists; regional historical reconstruction is heavy,True,medium,ODbL,enabled,https://download.geofabrik.de/europe/united-kingdom.html
planning_data_uk,business_services,Planning Data API,api+bulk,none,daily,PARTIAL/incomplete for planning applications; many datasets vary by provider coverage,True,low,OGL/source-specific,enabled_with_coverage_flags,https://www.planning.data.gov.uk/docs
ebay_buy_api,market_tape,eBay Buy/Browse API,restricted_partner_api,OAuth + production approvals,NOT ENABLED for PTech archive absent written permission,Do not assume archival rights,False,n/a,eBay API License Agreement,BLOCKED_PENDING_PERMISSION,https://developer.ebay.com/join/api-license-agreement
marketplace_optin_seller,market_tape,Opt-in seller transaction/listing feeds,seller_authorized,OAuth per marketplace,event/daily,YES where seller account API exposes it,True,high,Marketplace terms + seller authorization; source-specific review,design_pattern,
public_web_market_candidates,market_tape,"Public web/aggregator candidates (CeX, Cash Converters, Google Shopping, Apify etc.)",source_specific,varies,disabled by default,varies,False,n/a,Terms review required per source,DISCOVERY_ONLY,
unitree_official_shop,robotics_automation,Unitree official parts/accessories shop,public_web,none,daily,No guaranteed historical catalog/price archive; snapshot now,False,high,site terms apply,terms_review,https://shop.unitree.com/collections/accessories
myactuator_catalog,robotics_automation,MYACTUATOR product/download catalog,public_web_downloads,none,weekly,Current + some versioned manuals/downloads; product pages change,True,high,manufacturer terms apply,enabled_metadata_terms_review,https://www.myactuator.com/downloads-xseries
myactuator_product_news,robotics_automation,MYACTUATOR product news / EOL notices,public_web,none,daily,"Historical notices partly available, but preserve now",partial,critical,manufacturer terms apply,enabled_manual,https://www.myactuator.com/%E5%89%AF%E6%9C%AC-news-5
robotshop_uk,robotics_automation,RobotShop UK,public_web,none,daily promoted panel,Current retail state; no guaranteed historical archive,False,high,site terms apply,terms_review,https://uk.robotshop.com/
alibaba_robotics,supplier_market,Alibaba robotics supplier listings,public_b2b_web,none,weekly discovery/quotes,Listings and quotes are transient,False,critical,platform terms apply,DISCOVERY_ONLY,https://www.alibaba.com/
ros2_control,robotics_automation,ros2_control hardware interfaces,git_docs,none,daily/weekly git,Git history available,True,medium,open-source repo licences,enabled,https://github.com/ros-controls/ros2_control
uk_apprenticeship_display_api,workforce_transition,UK Apprenticeship Display Advert API,api,api registration,daily,Historical ad state should be snapshotted locally,False,high,government API terms,credentials_needed,https://developer.apprenticeships.education.gov.uk/
adzuna_jobs,workforce_transition,Adzuna Jobs API,api,app_id+app_key,hourly/daily panel,"Live API; commercial historical LMI exists separately, so snapshot selected queries",False,high,Adzuna API terms,credentials_needed,https://developer.adzuna.com/
contracts_finder_ocds,workforce_transition,Contracts Finder OCDS,api,none,daily,Historical notices and stages accessible,yes,medium,Open Government Licence,enabled,https://www.contractsfinder.service.gov.uk/Published/Notices/OCDS/Search
find_tender_ocds,workforce_transition,Find a Tender OCDS output,api,none for public OCDS output,daily,Historical release/record packages,yes,medium,Open Government Licence,enabled,https://www.find-tender.service.gov.uk/Developer/Documentation
electrical_competent_person,service_economics,Registered Competent Person Electrical search,public_search,captcha/user search,weekly sample/permissioned bulk only,No public historical bulk found; current-state changes are valuable,False,critical,site terms apply,manual_or_permission,https://www.electricalcompetentperson.co.uk/Search
mcs_installation_database,service_economics,MCS Installation Database / dashboard,dashboard_restricted_database,installer access for MID,release/dashboard-driven,Records every MCS certified small-scale low-carbon installation since 2010; public dashboard is aggregated,True,high,MCS terms apply,discover_public_exports,https://mcsmid.solsticecloud.com/
uk_business_population,workforce_transition,UK Business Population Estimates,annual_bulk,none,annual,Historical annual official statistics,yes,low,Open Government Licence,enabled,https://www.gov.uk/government/statistics/business-population-estimates-2025
skills_england_annual,workforce_transition,Skills England annual skills report,annual_report,none,annual,Historical reports,yes,low,Open Government Licence,enabled,https://www.gov.uk/government/publications/skills-england-annual-skills-report-and-sectoral-skills-needs-assessments-2026/skills-england-annual-skills-report-2026
