id,category,subcategory,manufacturer,model_or_family,item_type,primary_source_url,source_price,source_currency,uk_eu_reference_url,uk_eu_reference_price_gbp,interface,voltage,key_spec,target_assets,evidence_status,priority,collect_daily,notes,landed_cost_status
RP011,motion,integrated_joint,MYACTUATOR,RMD-X12-P20-320-C/E,integrated BLDC actuator,https://www.myactuator.com/downloads-xseries,,,,,CAN/EtherCAT,,X12-320,robot arms/quadrupeds,verified_identity,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP012,motion,integrated_joint,MYACTUATOR,RMD-X6-P20-60-C/E,integrated BLDC actuator,https://www.myactuator.com/downloads-xseries,,,,,CAN/EtherCAT,,X6-60,robot arms/quadrupeds,verified_identity,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP013,motion,integrated_joint,MYACTUATOR,RMD-X15-P20-450-C/E,integrated BLDC actuator,https://www.myactuator.com/downloads-xseries,,,,,CAN/EtherCAT,,X15-450,robot arms/quadrupeds,verified_identity,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP014,motion,integrated_joint,MYACTUATOR,RMD-X4-P36-36-C/E,integrated BLDC actuator,https://www.myactuator.com/downloads-xseries,,,,,CAN/EtherCAT,,X4-36,robot arms/quadrupeds,verified_identity,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP015,motion,integrated_joint,MYACTUATOR,RMD-X6-S2 1:36,integrated BLDC actuator,https://www.myactuator.com/downloads-xseries,,,,,,,X6-40,robot arms/quadrupeds,verified_identity,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP016,motion,integrated_joint,MYACTUATOR,RMD-X6 1:8,integrated BLDC actuator,https://www.myactuator.com/downloads-xseries,,,,,,,X6-8,robot arms/quadrupeds,verified_identity,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP017,motion,integrated_joint,MYACTUATOR,RMD-X10 1:7,integrated BLDC actuator,https://www.myactuator.com/downloads-xseries,,,,,,,X10-40,robot arms/quadrupeds,verified_identity,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP018,motion,integrated_joint,MYACTUATOR,RMD-X2-P28-7-C/E,integrated BLDC actuator,https://www.myactuator.com/downloads-xseries,,,,,CAN/EtherCAT,,X2-7,robot arms/quadrupeds,verified_identity,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP019,motion,integrated_joint,MYACTUATOR,RMD-X4-P12.5-10-C/E,integrated BLDC actuator,https://www.myactuator.com/downloads-xseries,,,,,CAN/EtherCAT,,X4-10,robot arms/quadrupeds,verified_identity,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP020,motion,integrated_joint,MYACTUATOR,RMD-X8-P20-120-C/E,integrated BLDC actuator,https://www.myactuator.com/downloads-xseries,,,,,CAN/EtherCAT,,X8-120,robot arms/quadrupeds,verified_identity,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP021,manipulation,gripper,UFACTORY,xArm Gripper G2,electric parallel gripper,https://uk.robotshop.com/products/xarm-gripper,,,https://uk.robotshop.com/products/xarm-gripper,1958.77,RS-485,24V,84 mm stroke,xArm,verified_uk,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP022,manipulation,gripper,UFACTORY,xArm Vacuum Gripper,electric vacuum gripper,https://uk.robotshop.com/products/xarm-vacuum-gripper,,,https://uk.robotshop.com/products/xarm-vacuum-gripper,500.22,Digital IO,24V,<=5 kg payload,xArm,verified_uk,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP023,manipulation,gripper,DH Robotics,PGE-50-40,2-finger electric gripper,https://uk.robotshop.com/products/lynxmotion-ses-pro-dh-robotics-pge-50-40-two-fingers-gripper-kit,,,https://uk.robotshop.com/products/lynxmotion-ses-pro-dh-robotics-pge-50-40-two-fingers-gripper-kit,1015.34,,,,Lynxmotion PRO / custom arms,verified_uk,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP024,manipulation,gripper,DH Robotics,CGE-10-10,3-finger centric gripper,https://uk.robotshop.com/products/lynxmotion-ses-pro-dh-robotics-cge-10-10-three-fingers-gripper-kit,,,https://uk.robotshop.com/products/lynxmotion-ses-pro-dh-robotics-cge-10-10-three-fingers-gripper-kit,1246.1,,,,Lynxmotion PRO / custom arms,verified_uk,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP025,manipulation,gripper,Lynxmotion,Little Grip Kit GRIPPER LG-NS,servo gripper,https://uk.robotshop.com/products/lynxmotion-little-grip-kit-no-servos,,,https://uk.robotshop.com/products/lynxmotion-little-grip-kit-no-servos,14.76,servo,,1.3 in opening,small robots,verified_uk,P2,weekly,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP026,manipulation,gripper,Lynxmotion,A Style Gripper GRPA-NS,servo gripper,https://uk.robotshop.com/products/lynxmotion-a-style-gripper-kit,,,https://uk.robotshop.com/products/lynxmotion-a-style-gripper-kit,11.57,servo,,48 mm opening,small robots,verified_uk,P2,weekly,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP027,manipulation,gripper,Lynxmotion,4WD1 Robot Gripper Kit,2DOF gripper kit,https://uk.robotshop.com/products/lynxmotion-4wd1-robot-gripper-kit,,,https://uk.robotshop.com/products/lynxmotion-4wd1-robot-gripper-kit,73.11,servo,,3 included servos,A4WD1 / custom,verified_uk,P2,weekly,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP028,manipulation,gripper,EZ-Robot,Servo Gripper 1204,servo gripper,https://uk.robotshop.com/products/ez-robot-servo-gripper,,,https://uk.robotshop.com/products/ez-robot-servo-gripper,33.22,servo,,,EZ-Robot / custom,verified_uk,P2,weekly,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP029,manipulation,gripper,Robotiq,2F-85,adaptive electric gripper,https://robotiq.com/products/2f85-140-adaptive-robot-gripper,,,,,,,,cobots,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP030,manipulation,gripper,OnRobot,RG2,2-finger electric gripper,https://onrobot.com/en/products/rg2-gripper,,,,,,,,cobots,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP031,motion,servo,Unitree,Brushless Digital Servo,digital servo,https://shop.unitree.com/collections/accessories,15,USD,,,,,,robot accessories,verified_current,P2,weekly,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP032,motion,servo,DFRobot,SER0046 9g 270° metal servo,feedback servo,https://uk.robotshop.com/products/dfrobot-9g-270metal-servo-w-analog-feedback-15kg,,,https://uk.robotshop.com/products/dfrobot-9g-270metal-servo-w-analog-feedback-15kg,6.37,PWM+analog feedback,,1.5 kg class,small robots,verified_uk,P2,weekly,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP033,motion,servo,DFRobot,SER0038 DSS-M15S,metal geared servo,https://uk.robotshop.com/products/df-metal-geared-15kg-standard-servo-270-dss-m15s,,,https://uk.robotshop.com/products/df-metal-geared-15kg-standard-servo-270-dss-m15s,13.75,PWM,4.8-6.8V,15 kg torque class,small robots,verified_uk,P2,weekly,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP034,motion,servo,Parallax,900-00005 Standard Servo,servo,https://uk.robotshop.com/products/parallax-standard-servo,,,https://uk.robotshop.com/products/parallax-standard-servo,14.99,PWM,4-6V,38 oz-in @6V,small robots,verified_uk,P2,weekly,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP035,motion,servo,Hitec,HS-77BB,low profile servo,https://uk.robotshop.com/products/hs-77bb-low-profile-servo,,,https://uk.robotshop.com/products/hs-77bb-low-profile-servo,28.61,PWM,4.8-6V,5.5 kg-cm @6V,small robots,verified_uk,P2,weekly,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP036,motion,servo,FeeTech,FS90H,micro servo,https://uk.robotshop.com/products/9g-micro-servo-motor,,,https://uk.robotshop.com/products/9g-micro-servo-motor,5.53,PWM,7.4V,1.3 kg-cm,small robots,verified_uk,P2,weekly,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP037,motion,servo,Seeed Studio,Grove Servo 316010005,servo,https://uk.robotshop.com/products/seeedstudio-grove-servo,,,https://uk.robotshop.com/products/seeedstudio-grove-servo,5.06,Grove/PWM,,,maker robots,verified_uk,P2,weekly,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP038,motion,servo,ROBOTIS,DYNAMIXEL XL330-M288-T,smart servo,https://emanual.robotis.com/docs/en/dxl/x/xl330-m288/,,,,,DYNAMIXEL TTL/RS485,,,robot arms/mobile robots,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP039,motion,servo,ROBOTIS,DYNAMIXEL XC330-T288-T,smart servo,https://emanual.robotis.com/docs/en/dxl/x/xc330-t288/,,,,,DYNAMIXEL TTL/RS485,,,robot arms/mobile robots,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP040,motion,servo,ROBOTIS,DYNAMIXEL XM430-W350-T,smart servo,https://emanual.robotis.com/docs/en/dxl/x/xm430-w350/,,,,,DYNAMIXEL TTL/RS485,,,robot arms/mobile robots,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP041,perception,lidar,Unitree,4D LiDAR L1,4D lidar,https://shop.unitree.com/,249,USD,,,,,,robots,verified_current,P0,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP042,perception,lidar,Unitree,4D LiDAR L2,4D lidar,https://shop.unitree.com/,419,USD,,,,,,robots,verified_current,P0,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP043,perception,lidar,SLAMTEC,RPLIDAR A1,lidar,https://www.slamtec.com/en/Lidar/A1,,,,,,,,mobile/humanoid robots,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP044,perception,lidar,SLAMTEC,RPLIDAR A2,lidar,https://www.slamtec.com/en/Lidar/A2,,,,,,,,mobile/humanoid robots,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP045,perception,lidar,SLAMTEC,RPLIDAR A3,lidar,https://www.slamtec.com/en/Lidar/A3,,,,,,,,mobile/humanoid robots,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP046,perception,lidar,SLAMTEC,RPLIDAR S2,lidar,https://www.slamtec.com/en/Lidar/S2,,,,,,,,mobile/humanoid robots,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP047,perception,lidar,YDLIDAR,X4,lidar,https://www.ydlidar.com/products/view/5.html,,,,,,,,mobile/humanoid robots,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP048,perception,lidar,YDLIDAR,G4,lidar,https://www.ydlidar.com/products/view/3.html,,,,,,,,mobile/humanoid robots,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP049,perception,lidar,YDLIDAR,T-mini Plus,lidar,https://www.ydlidar.com/,,,,,,,,mobile/humanoid robots,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP050,perception,depth_camera,Luxonis,OAK-D Lite,depth camera,https://shop.luxonis.com/products/oak-d-lite-1,,,,,,,,mobile/humanoid robots,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP051,perception,depth_camera,Luxonis,OAK-D Pro,depth camera,https://shop.luxonis.com/products/oak-d-pro,,,,,,,,mobile/humanoid robots,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP052,perception,depth_camera,Orbbec,Gemini 2,depth camera,https://www.orbbec.com/products/stereo-vision-camera/gemini-2/,,,,,,,,mobile/humanoid robots,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP053,perception,depth_camera,Intel/RealSense,D435i,depth camera,https://www.realsenseai.com/,,,,,,,,mobile/humanoid robots,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP054,perception,depth_camera,Intel/RealSense,D455,depth camera,https://www.realsenseai.com/,,,,,,,,mobile/humanoid robots,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP055,perception,lidar,Livox,Mid-360,lidar,https://www.livoxtech.com/mid-360,,,,,,,,mobile/humanoid robots,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP056,perception,force_torque_tactile,Robotiq,FT 300-S,6-axis force torque sensor,https://robotiq.com/products/ft-300-force-torque-sensor,,,,,,,,robot hands/grippers/joints,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP057,perception,force_torque_tactile,ATI Industrial Automation,Mini45,6-axis force torque sensor,https://www.ati-ia.com/products/ft/ft_models.aspx?id=mini45,,,,,,,,robot hands/grippers/joints,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP058,perception,force_torque_tactile,OnRobot,HEX-E QC,6-axis force torque sensor,https://onrobot.com/en/products/hex-6-axis-force-torque-sensor,,,,,,,,robot hands/grippers/joints,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP059,perception,force_torque_tactile,WEISS Robotics,KMS 40,force torque sensor,https://weiss-robotics.com/,,,,,,,,robot hands/grippers/joints,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP060,perception,force_torque_tactile,GelSight,GelSight Mini,tactile sensor,https://www.gelsight.com/gelsightmini/,,,,,,,,robot hands/grippers/joints,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP061,perception,force_torque_tactile,XELA Robotics,uSkin,tactile sensor,https://xelarobotics.com/,,,,,,,,robot hands/grippers/joints,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP062,perception,force_torque_tactile,Tekscan,FlexiForce A201,force sensor,https://www.tekscan.com/products-solutions/force-sensors/a201,,,,,,,,robot hands/grippers/joints,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP063,perception,force_torque_tactile,Interlink Electronics,FSR 400,force sensing resistor,https://www.interlinkelectronics.com/fsr-400-series,,,,,,,,robot hands/grippers/joints,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP064,control_compute,controller_compute,NVIDIA,Jetson Orin Nano Super Developer Kit,edge compute,https://developer.nvidia.com/embedded/learn/get-started-jetson-orin-nano-devkit,,,,,,,,robotics control stack,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP065,control_compute,controller_compute,NVIDIA,Jetson AGX Orin,edge compute,https://developer.nvidia.com/embedded/jetson-agx-orin-developer-kit,,,,,,,,robotics control stack,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP066,control_compute,controller_compute,Seeed Studio,reComputer J4012,edge compute,https://www.seeedstudio.com/reComputer-J4012-p-5586.html,,,,,,,,robotics control stack,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP067,control_compute,controller_compute,Raspberry Pi,Raspberry Pi 5,SBC,https://www.raspberrypi.com/products/raspberry-pi-5/,,,,,,,,robotics control stack,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP068,control_compute,controller_compute,ODrive,ODrive S1,motor controller,https://odriverobotics.com/shop/odrive-s1,,,,,CAN/USB,,,robotics control stack,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP069,control_compute,controller_compute,ODrive,ODrive Pro,motor controller,https://odriverobotics.com/shop/odrive-pro,,,,,CAN/USB,,,robotics control stack,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP070,control_compute,controller_compute,VESC Project,VESC 6 class controller,motor controller,https://vesc-project.com/,,,,,CAN,,,robotics control stack,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP071,control_compute,controller_compute,Pololu,Mini Maestro 12ch 1352,servo controller,https://uk.robotshop.com/products/mini-maestro-12-channel-usb-servo-controller-assembled,,,https://uk.robotshop.com/products/mini-maestro-12-channel-usb-servo-controller-assembled,35.03,USB/TTL,,,robotics control stack,verified_uk,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP072,control_compute,controller_compute,CANable,CANable 2.0,CAN adapter,https://canable.io/,,,,,USB-CAN,,,robotics control stack,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP073,control_compute,controller_compute,Waveshare,USB-CAN-A,CAN adapter,https://www.waveshare.com/usb-can-a.htm,,,,,USB-CAN,,,robotics control stack,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP074,control_compute,controller_compute,Waveshare,USB-CAN-B,CAN adapter,https://www.waveshare.com/usb-can-b.htm,,,,,USB-CAN,,,robotics control stack,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP075,control_compute,controller_compute,Beckhoff,EK1100 EtherCAT Coupler,EtherCAT coupler,https://www.beckhoff.com/en-gb/products/i-o/ethercat-terminals/ekxxxx-bus-coupler/ek1100.html,,,,,EtherCAT,,,robotics control stack,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP076,power,battery,Unitree,Go2 Battery,robot battery,https://shop.unitree.com/collections/accessories,500,USD,,,,,,Unitree Go2,verified_current,P0,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP077,power,battery,Unitree,Go1 Battery,robot battery,https://shop.unitree.com/collections/accessories,600,USD,,,,,,Unitree Go1,verified_current,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP078,power,battery,Unitree,R1 Battery,robot battery,https://shop.unitree.com/collections/accessories,500,USD,,,,,,Unitree R1,verified_current,P0,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP079,power,charger,Unitree,Go2 Charger,robot charger,https://shop.unitree.com/collections/accessories,100,USD,,,,,,Unitree Go2,verified_current,P0,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP080,power,power_electronics,JBD/LLT Power,Smart BMS family,BMS,https://www.lithiumbatterypcb.com/,,,,,CAN,,,robots/EV/solar/homelab,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP081,power,power_electronics,DALY,Smart BMS family,BMS,https://www.dalybms.com/,,,,,CAN,,,robots/EV/solar/homelab,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP082,power,power_electronics,Orion,Orion BMS 2,BMS,https://www.orionbms.com/products/orion-bms-standard,,,,,CAN,,,robots/EV/solar/homelab,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP083,power,power_electronics,Mean Well,RSP-1000 series,AC-DC PSU,https://www.meanwell.com/,,,,,,,,robots/EV/solar/homelab,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP084,power,power_electronics,Mean Well,UHP-500 series,AC-DC PSU,https://www.meanwell.com/,,,,,,,,robots/EV/solar/homelab,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP085,power,power_electronics,Vicor,DCM DC-DC Converter family,DC-DC converter,https://www.vicorpower.com/,,,,,,,,robots/EV/solar/homelab,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP086,motion,drivetrain,Roboteq,FBL2360,https://www.roboteq.com/,dual-channel BLDC controller,,,,,,,,mobile robots/arms,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP087,motion,drivetrain,Dimension Engineering,Sabertooth 2x32,https://www.dimensionengineering.com/products/sabertooth2x32,dual motor driver,,,,,,,,mobile robots/arms,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP088,motion,drivetrain,Pololu,37D Metal Gearmotor family,https://www.pololu.com/category/116/37d-metal-gearmotors,gearmotor,,,,,,,,mobile robots/arms,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP089,motion,drivetrain,maxon,EC-i 40 + gearhead family,https://www.maxongroup.com/,BLDC motor/gearmotor,,,,,,,,mobile robots/arms,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP090,motion,drivetrain,T-Motor,AK series actuator family,https://store.tmotor.com/,integrated actuator,,,,,,,,mobile robots/arms,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP091,mechanical,transmission,Harmonic Drive,CSD series,https://www.harmonicdrive.net/products/gear-units,harmonic reducer,,,,,,,,robot joints/mechanisms,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP092,mechanical,transmission,Leaderdrive,LCS/LHS harmonic reducer families,https://www.leaderdrive.com/,harmonic reducer,,,,,,,,robot joints/mechanisms,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP093,mechanical,transmission,Nabtesco,RV reducer family,https://www.nabtescomotioncontrol.com/,cycloidal reducer,,,,,,,,robot joints/mechanisms,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP094,mechanical,transmission,igus,ReBeL gearbox/joint components,https://www.igus.co.uk/automation/robotics,polymer gearbox/joint,,,,,,,,robot joints/mechanisms,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP095,mechanical,transmission,MISUMI,robot bearing/linear motion families,https://uk.misumi-ec.com/,bearings/linear motion,,,,,,,,robot joints/mechanisms,seed_unverified,P1,yes,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP096,fabrication,repair_enabler,Bambu Lab,X1 Carbon,https://bambulab.com/en/x1,3D printer,,,,,,,,robot repair/modding/fabrication,seed_unverified,P2,weekly,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP097,fabrication,repair_enabler,Prusa Research,CORE One,https://www.prusa3d.com/,3D printer,,,,,,,,robot repair/modding/fabrication,seed_unverified,P2,weekly,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP098,fabrication,repair_enabler,Creality,K1 Max,https://www.creality.com/,3D printer,,,,,,,,robot repair/modding/fabrication,seed_unverified,P2,weekly,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP099,fabrication,repair_enabler,Pine64,Pinecil V2,https://pine64.com/product/pinecil-smart-mini-portable-soldering-iron/,soldering iron,,,,,,,,robot repair/modding/fabrication,seed_unverified,P2,weekly,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
RP100,fabrication,repair_enabler,Quick,861DW class hot-air station,https://www.quick-global.com/,rework station,,,,,,,,robot repair/modding/fabrication,seed_unverified,P2,weekly,,CALCULATE_FROM_QUOTES_NOT_ASSUMED
